domainID	domainName
PRK10893	LPS export ABC transporter periplasmic protein LptC
pfam17328	YufK family protein
PRK06655	flagellar hook assembly protein FlgD
COG0233	ribosome-recycling factor
COG3545	alpha/beta hydrolase
PRK03557	cation transporter
cd01791	Ubl5/Hub1 family ubiquitin-like protein
cd15469	hemagglutinin-neuraminidase
PRK00745	4-oxalocrotonate tautomerase family protein
cd00086	homeobox domain-containing protein
PTZ00071	40S ribosomal protein S24
TIGR02838	stage V sporulation protein AC
pfam13641	glycosyltransferase family 2 protein
COG1885	DUF555 domain-containing protein
PLN02291	3-deoxy-7-phosphoheptulonate synthase class II
cd10225	rod shape-determining protein
cd08732	regulator of G-protein signaling domain-containing protein
COG0724	RNA-binding protein
COG0586	DedA family protein/thiosulfate sulfurtransferase GlpE
pfam02982	scytalone dehydratase
PRK10027	adenine deaminase
pfam13865	chromatin target of PRMT1 protein
cl24038	soluble NSF attachment family protein
COG0039	malate dehydrogenase
PRK15327	type III secretion system inner membrane ring protein PrgH
COG3695	MGMT family protein
cd08420	LysR family transcriptional regulator
cd12348	RNA-binding protein
TIGR00778	carboxymuconolactone decarboxylase family protein
pfam17137	glycoside hydrolase family 31 protein
PRK11634	ATP-dependent RNA helicase DeaD
pfam10854	DUF2649 domain-containing protein
cd03416	sirohydrochlorin chelatase
COG1004	UDP-glucose/GDP-mannose dehydrogenase family protein
cd12263	RNA-binding protein
COG0155	nitrite/sulfite reductase
pfam03792	TALE/PBX homeobox family transcription factor
pfam08016	polycystin family protein
PRK14144	nucleotide exchange factor GrpE
PRK11377	PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM
cd14125	casein kinase 1 subunit delta/epsilon
cd14228	homeodomain-interacting protein kinase 1
TIGR01081	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
PRK01355	FMN-dependent NADH-azoreductase
PRK10419	dipeptide/oligopeptide/nickel ABC transporter ATP-binding protein
cd02980	NADH-quinone oxidoreductase subunit NuoF
cd17397	solute carrier family 49 member 4
PRK08571	50S ribosomal protein L14
pfam03605	anaerobic C4-dicarboxylate transporter family protein
PRK05170	YcgN family cysteine cluster protein
COG3252	methenyltetrahydromethanopterin cyclohydrolase
pfam12685	pentapeptide repeat-containing protein
pfam12698	ABC transporter A family member
PLN02885	nicotinate phosphoribosyltransferase
pfam01384	PiT family inorganic phosphate transporter
cd07879	mitogen-activated protein kinase 13
TIGR03444	ergothioneine biosynthesis glutamate--cysteine ligase EgtA
TIGR03253	formyl-CoA transferase
cd14474	SPX domain-containing protein
COG1295	YihY/virulence factor BrkB family protein
cd14036	cyclin-G-associated kinase
cd13128	flippase
cl26169	zinc finger and BTB domain-containing protein 34
cl02111	PCI domain-containing protein
PRK05347	glutamine--tRNA ligase
pfam07944	glycoside hydrolase family 127 protein
PRK10308	DNA-3-methyladenine glycosylase 2
pfam00931	tetratricopeptide repeat protein
pfam00674	DUP/COS family protein
PRK14432	acylphosphatase
PRK11388	PTS-dependent dihydroxyacetone kinase operon transcriptional regulator DhaR
PRK10756	protein CreA
PRK02048	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
cl21099	DUF4586 domain-containing protein
pfam06984	ribosomal protein L29 family protein
cd08060	ER membrane protein complex subunit 8/9 family protein
pfam01428	zinc finger AN1 domain-containing stress-associated protein
COG0655	flavodoxin family protein
cl21208	NOPCHAP1/New4 family protein
pfam00570	ATP-dependent DNA helicase RecQ
COG0531	APC family permease
PRK08064	cystathionine beta-lyase
pfam08653	DASH complex subunit DAM1
PRK10200	aspartate/glutamate racemase family protein
COG0238	30S ribosomal protein S18
cd07738	cAMP/cGMP-dependent 3 ,5 -cyclic-AMP/GMP phosphodiesterase
pfam08649	DASH complex subunit DAD1
smart00213	ubiquitin-like domain-containing protein
COG3839	ABC transporter ATP-binding protein
cd12270	methenyltetrahydrofolate synthase domain-containing protein
TIGR01930	acetyl-CoA C-acyltransferase
cd03401	prohibitin family protein
COG5228	poly(A) ribonuclease POP2
PRK11624	phosphatidate cytidylyltransferase
pfam07735	F-box associated domain-containing protein
cd05262	SDR family oxidoreductase
PRK03839	adenylate kinase family protein
cd06416	glycoside hydrolase family 25 protein
PRK10595	cell division inhibitor SulA
PRK00783	DNA-directed RNA polymerase subunit D
cd00992	PDZ domain-containing protein
cd01863	Ras-related protein Rab18
cd23128	RING-HC finger protein
cd00152	pentraxin family protein
TIGR02802	OmpA family protein
pfam15477	small acidic/RSRC2 family protein
PLN03075	nicotianamine synthase
pfam06687	SUR7/PalI family protein
cl02879	chlorophyll a-b binding domain-containing protein
PRK13328	type III pantothenate kinase
cd02006	glyoxylate carboligase
cd13432	L,D-transpeptidase
TIGR03939	poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA
MTH00179	ATP synthase F0 subunit 6
pfam01545	zinc transporter
PHA02538	phage major capsid protein, P2 family
COG1944	YcaO-like family protein
cd02987	phosducin family protein
cl22861	LamG domain-containing protein
cl19833	winged helix DNA-binding domain-containing protein
COG1165	thiamine pyrophosphate-binding protein
pfam15755	DUF4689 domain-containing protein
PRK10779	sigma E protease regulator RseP
cd05125	Mth938-like domain-containing protein
cd15952	olfactory receptor subfamily 52E-like
cd03134	type 1 glutamine amidotransferase
cd16625	ariadne family E3 ubiquitin-protein ligase
COG2469	CheF family chemotaxis protein
smart00916	L51/S25/CI-B8 domain-containing protein
cd01421	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase
cd05344	SDR family oxidoreductase
PRK12334	MazG family protein
cd00201	WW domain-containing protein
COG0579	malate:quinone oxidoreductase
cd08418	transcriptional regulator TdcA
cl20262	Vps53-like N-terminal domain-containing protein
PRK14889	vitamin K epoxide reductase family protein
pfam09037	Stf0 sulfotransferase family protein
cl21499	SPX and EXS domain-containing protein
cd07199	patatin-like phospholipase family protein
PRK15387	SPI-2 type III secretion system effector E3 ubiquitin transferase SspH2
PRK09557	fructokinase
PRK10236	YaaW/HtgA family protein
COG3196	CbrC family protein
PRK12653	fructose-6-phosphate aldolase
cd06891	vacuolar protein sorting-associated protein Vps17
cl00196	peroxidase
cl38911	ligand-gated ion channel
PRK10150	beta-glucuronidase
pfam09008	phage head-binding domain-containing protein
cd14984	chemokine receptor
PRK14986	glycogen phosphorylase
cd05674	M20 family metallopeptidase
pfam04667	endosulfine family protein
pfam09438	DUF2017 domain-containing protein
COG5006	DMT family transporter
cd12005	tyrosine-protein kinase Lck
cd11648	16S rRNA (cytidine(1402)-2 -O)-methyltransferase
COG0560	HAD family phosphatase
PRK08307	stage III sporulation protein AB
cd11058	cytochrome P450
PRK14228	fluoride efflux transporter CrcB
PRK09997	hydroxypyruvate isomerase
pfam02515	CoA transferase
cl03523	HORMA domain-containing protein
PRK09849	aldehyde ferredoxin oxidoreductase
cd14155	dual specificity testis-specific protein kinase
cd02568	pseudouridine synthase family protein
PRK11854	dihydrolipoyllysine-residue acetyltransferase
COG1775	2-hydroxyacyl-CoA dehydratase subunit D
pfam04970	lecithin retinol acyltransferase family protein
cd02933	alkene reductase
cd03382	phosphatase PAP2 family protein
pfam14659	site-specific integrase
COG1042	bifunctional acetate--CoA ligase family protein/GNAT family N-acetyltransferase
cl35338	SDR family oxidoreductase
cd00250	clavaminate synthase family protein
PRK08565	DNA-directed RNA polymerase subunit B
cd18388	BTB/POZ domain-containing protein KCTD15
pfam13878	N-acetyltransferase ESCO1
COG3204	YjiK family protein
COG1599	replication factor A
PRK11767	SpoVR family protein
PRK09051	acetyl-CoA C-acyltransferase family protein
pfam10754	DUF2569 domain-containing protein
PRK10667	Hha toxicity modulator TomB
pfam09643	YopX family protein
cd14362	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
cd18381	potassium voltage-gated channel subfamily F member 1
cd00109	BPTI/Kunitz domain-containing protein
PRK12380	hydrogenase nickel incorporation protein HybF
PRK11780	isoprenoid biosynthesis glyoxalase ElbB
PRK03564	formate dehydrogenase accessory protein FdhE
pfam04286	DUF445 domain-containing protein
PRK12475	molybdopterin-synthase adenylyltransferase MoeB
PRK10847	DedA family protein
PLN00209	40S ribosomal protein S27
PTZ00326	phenylalanine--tRNA ligase alpha subunit
pfam15247	histone RNA hairpin-binding protein
cd12290	LARP7 family RNA-binding protein
COG0702	NAD(P)H-binding protein
pfam05022	nucleolar and coiled-body phosphoprotein 1 family protein
pfam16473	3 -5  exoribonuclease
PRK10461	FAD:protein FMN transferase
PRK04335	cell division protein ZipA
PRK14221	fluoride efflux transporter CrcB
cd20652	cytochrome P450
COG0250	transcription termination/antitermination protein NusG
cd17369	MFS transporter
COG1474	orc1/cdc6 family replication initiation protein
cd01993	adenine nucleotide alpha hydrolase family protein
cd19713	protein atonal homolog 1
pfam12270	cytochrome c oxidase subunit 4
cd05992	next to BRCA1 gene 1 family protein
PLN03028	pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha
COG0400	alpha/beta hydrolase
cd16453	U-box domain-containing protein
TIGR01252	acetolactate decarboxylase
PRK10972	cell division protein ZapA
COG2179	YqeG family HAD IIIA-type phosphatase
MTH00183	cytochrome-c oxidase subunit 1
cd11598	Hos2/Phd1 family histone deacetylase
cl40794	terminase large subunit
pfam07315	YuzD family protein
COG0640	ROK family transcriptional regulator
PRK14151	nucleotide exchange factor GrpE
pfam09805	RRP17 family protein
pfam05443	MucR family transcriptional regulator
PRK11249	catalase HPII
cd02201	cell division protein FtsZ
cl20831	zinc finger and BTB domain-containing protein 6
cd02069	methionine synthase
cl03911	DUF247 domain-containing protein
cd11735	heat shock 70 kDa protein 12A
PRK02958	Sec-independent protein translocase subunit TatA
PRK08261	3-oxoacyl-ACP reductase
PRK11212	VUT family protein
COG0741	N-acetylmuramoyl-L-alanine amidase
TIGR02643	thymidine phosphorylase
pfam16077	spaetzle family protein
cd10318	rhamnogalacturonan lyase
PRK00306	50S ribosomal protein L29
cd07839	cyclin-dependent kinase 5
PRK10110	PTS maltose transporter subunit IICB
cd07644	brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2
cd07870	cyclin-dependent kinase 15
cd06985	cupin domain-containing protein
PRK11649	murein DD-endopeptidase MepM
cd17349	solute carrier family 15 member 5
cd15039	Mth family G-protein coupled receptor
cd12226	NOL8 family RNA-binding protein
PRK10580	proline-specific permease ProY
COG1092	class I SAM-dependent rRNA methyltransferase
cl36902	signal recognition particle subunit SRP54
pfam10602	COP9 signalosome complex subunit 1
PRK09257	amino acid aminotransferase
pfam01453	G-type lectin S-receptor-like serine/threonine-protein kinase family protein
cd17421	monocarboxylate transporter 5
pfam10197	pre-mRNA-splicing factor CWC25 family protein
TIGR03610	pyrimidine utilization protein C
pfam12756	C2H2-type zinc finger protein
TIGR00827	PTS galactitol transporter subunit IIC
cl34905	PRP40 family protein
smart01000	activator of 90 kDa heat shock protein ATPase homolog
pfam04468	PSP1 domain-containing protein
pfam00989	PAS domain-containing protein kinase
PRK13571	anthranilate synthase component I
cd16866	ARID/BRIGHT DNA-binding domain-containing protein
cd02223	cupin domain-containing protein
PRK11036	tRNA uridine 5-oxyacetic acid(34) methyltransferase CmoM
cd14017	serine/threonine-protein kinase
cd14412	DCN1 family protein
cd07813	type II toxin-antitoxin system RatA family toxin
TIGR00659	LrgB family protein
pfam11933	sodium channel protein subunit alpha
TIGR00201	ComF family protein
pfam06585	JHBP domain-containing protein
PRK10561	sugar ABC transporter permease
cl34304	glycoside hydrolase family 65 protein
pfam04325	YdcH family protein
pfam00956	NAP domain-containing protein
cd00591	HU family DNA-binding protein
pfam13446	ubiquitin carboxyl-terminal hydrolase
pfam05346	TAPT1 family protein
pfam03018	dirigent protein
PRK11898	prephenate dehydratase
pfam09922	cell wall-active antibiotics response protein
pfam03889	ribosome alternative rescue factor ArfA
cl00465	AI-2E family transporter
cd07556	adenylate/guanylate cyclase domain-containing protein
pfam12787	EcsC family protein
PRK14816	NADH-quinone oxidoreductase subunit B
pfam01976	DUF116 domain-containing protein
CHL00186	photosystem I reaction center subunit VIII
cd02062	nitroreductase family protein
TIGR00421	UbiX family flavin prenyltransferase
pfam09768	mitochondrial inner membrane protease ATP23
cl13203	pre-mRNA-splicing factor SLU7 family protein
PRK05445	YfbU family protein
COG3208	thioesterase II family protein
PRK06580	monovalent cation/H+ antiporter subunit E
cd00010	protease inhibitor/seed storage/LTP family protein
cd14060	mitogen-activated protein kinase kinase kinase 20
pfam02080	potassium channel protein
cd11381	NSA2 family ribosome biogenesis protein
cl00788	Sec-independent protein translocase family protein
PRK00056	biosynthetic peptidoglycan transglycosylase
COG1350	tryptophan synthase subunit beta
COG1309	TetR/AcrR family transcriptional regulator
cd18680	type II toxin-antitoxin system VapC family toxin
cd00920	cupredoxin domain-containing protein
COG0709	selenide, water dikinase
COG4989	aldo/keto reductase family oxidoreductase
pfam14995	transmembrane protein 107
pfam10156	mediator of RNA polymerase II transcription subunit 17
pfam11912	DUF3430 domain-containing protein
COG3611	replication initiation and membrane attachment family protein
TIGR02737	cytochrome c oxidase assembly protein
pfam12829	mitochondrial homologous recombination protein 1
smart00328	LBP/BPI/CETP family protein
pfam02559	CarD family transcriptional regulator
PRK00293	protein-disulfide reductase DsbD
PRK13270	alpha,alpha-trehalase
TIGR01190	heme exporter protein CcmB
pfam04634	antitoxin YezG family protein
cd15848	syntaxin family protein
cd11574	glycoside hydrolase family 99 protein
cd07786	glycerol kinase
COG0649	NADH-quinone oxidoreductase subunit D
smart00507	HNH endonuclease
pfam13328	HD domain-containing protein
pfam02120	flagellar hook-length control protein FliK
TIGR01151	photosystem II protein D1
cl21461	globin-coupled sensor protein
pfam13076	Fur-regulated basic protein FbpA
cd01143	ABC transporter substrate-binding protein
PLN03200	ARM repeat and BTB/POZ domain-containing protein
pfam10280	mediator of RNA polymerase II transcription subunit 11
PRK01889	ribosome small subunit-dependent GTPase A
pfam08376	nitrate regulatory protein
pfam11261	interferon regulatory factor 2-binding protein
PTZ00069	60S ribosomal protein L5
pfam07985	SRR1 family protein
TIGR00057	L-threonylcarbamoyladenylate synthase
pfam00497	basic amino acid ABC transporter substrate-binding protein
PRK04231	50S ribosomal protein L3
COG2372	copper resistance protein CopC/CopD
cd13131	MATE family efflux transporter
pfam03022	major royal jelly family protein
PRK09665	PTS galactitol transporter subunit IIA
cd02749	macro domain-containing protein
COG1873	PRC-barrel domain-containing protein
COG2222	SIS domain-containing protein
pfam04397	DNA-binding response regulator
COG0494	NUDIX hydrolase
smart00595	Myb/SANT-like transcription factor
COG0144	RsmB/NOP family class I SAM-dependent RNA methyltransferase
cd08217	serine/threonine-protein kinase
cd18242	kelch-like protein 12
TIGR01667	YccS/YhfK family membrane protein
pfam10719	late competence development ComFB family protein
PRK14837	undecaprenyl diphosphate synthase family protein
pfam14386	DUF4417 domain-containing protein
COG3179	M23 family metallopeptidase
cd00423	pterin-binding domain-containing protein
cd00433	leucyl aminopeptidase family protein
PRK08227	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
PRK11009	acid phosphatase AphA
cd16025	arylsulfatase
cl00573	cation:dicarboxylase symporter family transporter
pfam14361	STAS domain-containing protein
cd03218	ABC transporter ATP-binding protein
PTZ00180	uL2 family ribosomal protein
pfam16050	RNA polymerase II accessory factor CDC73 family protein
PRK09505	alpha-amylase
cl00508	YggT family protein
cd07798	FGGY-family carbohydrate kinase
PRK11702	YggL family protein
COG3425	hydroxymethylglutaryl-CoA synthase family protein
pfam17479	DUF3048 domain-containing protein
PRK05820	thymidine phosphorylase
pfam13384	DNA-binding response regulator
pfam06411	HdeA family protein
PRK08241	sigma-70 family RNA polymerase sigma factor
cd00984	replicative DNA helicase
cd17474	MFS transporter
pfam07019	EMC6 family protein
cl11393	M14 family metallopeptidase
COG3449	GyrI-like domain-containing protein
pfam14845	beta-N-acetylhexosaminidase
PRK02265	acetoacetate decarboxylase
COG0786	sodium/glutamate symporter
pfam10979	DUF2786 domain-containing protein
COG2919	septum formation initiator family protein
pfam03719	uS5 family ribosomal protein
cd07398	UDP-2,3-diacylglucosamine diphosphatase
COG1835	acyltransferase
pfam00743	NAD(P)/FAD-dependent oxidoreductase
cd03219	ABC transporter ATP-binding protein
pfam09371	RNA-binding transcriptional accessory protein
cl34005	nucleotide sugar dehydrogenase
cd17445	solute carrier family 22 member 17
cd07408	bifunctional metallophosphatase/5 -nucleotidase
cl23718	alkaline phosphatase family protein
PRK00648	Maf-like protein
PRK07006	NADP-dependent isocitrate dehydrogenase
PRK13054	lipid kinase YegS
pfam06713	PH domain-containing protein
PRK14651	UDP-N-acetylmuramate dehydrogenase
PRK12624	flagellar basal body rod protein FlgB
PRK07940	DNA polymerase III subunit delta 
PRK05704	dihydrolipoyllysine-residue succinyltransferase
pfam04042	DNA polymerase alpha/epsilon subunit B
cd13193	FERM, ARHGEF and pleckstrin domain-containing protein
PRK07661	acetyl-CoA C-acetyltransferase
cd06581	branched-chain amino acid ABC transporter permease
pfam17094	UPF0715 family protein
PRK05678	succinate--CoA ligase subunit alpha
pfam12792	EAL domain-containing protein
pfam14988	BBOF1/CCDC121 family protein
COG1698	UPF0147 family protein
cl35058	phosphopyruvate hydratase family protein
PRK15220	fimbrial protein YehD
PRK06754	methylthioribulose 1-phosphate dehydratase
pfam00910	RNA1 polyprotein family protein
TIGR02970	succinate dehydrogenase, cytochrome b556 subunit
pfam08920	splicing factor 3B subunit 1 family protein
pfam12844	helix-turn-helix domain-containing protein
cd05154	phosphotransferase family protein
COG0791	C40 family peptidase
PRK15086	ethanolamine utilization protein EutH
pfam07174	D-alanyl-D-alanine carboxypeptidase
pfam17237	DUF5310 domain-containing protein
cd04750	COMM domain-containing protein 2
cl37706	translocation/assembly module TamB domain-containing protein
cl04388	DNA polymerase delta subunit 4 family protein
cd16733	polycomb group RING finger protein 1
COG0549	carbamate kinase
cl09115	bL32 family ribosomal protein
cd19438	lipocalin family protein
cl21149	ARKadia-like protein
cd22047	transcription factor SOX-17
COG4886	SLIT and NTRK-like protein 5
PLN02486	tryptophan--tRNA ligase
pfam03170	cellulose biosynthesis cyclic di-GMP-binding regulatory protein BcsB
PRK07402	precorrin-6Y C5,15-methyltransferase subunit CbiT
pfam03882	chromosome partition protein MukF
TIGR02544	EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein
cd03002	protein disulfide isomerase family protein
pfam06750	prepilin peptidase
pfam06388	FAM162A family protein
PRK03669	mannosyl-3-phosphoglycerate phosphatase
COG1848	type II toxin-antitoxin system VapC family toxin
COG2202	hybrid sensor histidine kinase/response regulator
PRK00110	YebC/PmpR family DNA-binding transcriptional regulator
smart00834	zinc ribbon domain-containing protein
cd00978	chitosanase
pfam16326	ABC-F family ATP-binding cassette domain-containing protein
COG3008	PqiB family protein
pfam01751	type IIA DNA topoisomerase subunit B
PRK08194	tartrate dehydrogenase
cd09866	rRNA-processing UTP23 family protein
PLN00129	succinate dehydrogenase iron-sulfur subunit
cl01133	cation:proton antiporter family protein
cl00082	SprT-like domain-containing protein
cl19362	coproporphyrinogen III oxidase
PRK11539	ComEC/Rec2 family competence protein
pfam01302	CAP-Gly domain-containing protein
pfam11271	DUF3068 domain-containing protein
pfam13000	Acatn family MFS transporter
cd07170	estrogen-related receptor
pfam03808	WecB/TagA/CpsF family glycosyltransferase
PRK10782	methionine ABC transporter permease
COG3852	nitrogen regulation protein NR(II)
PRK05318	deoxyguanosinetriphosphate triphosphohydrolase family protein
pfam07307	heptaprenyl diphosphate synthase component 1
pfam13360	PQQ-like beta-propeller repeat protein
PTZ00018	histone H3
cd16533	E3 ubiquitin-protein ligase RNF4
PRK06923	isochorismate synthase DhbC
cd13182	Dcp1 family protein
cd01108	Cu(I)-responsive transcriptional regulator
COG4735	YaaW family protein
pfam01103	outer membrane protein assembly factor
cd08180	1-propanol dehydrogenase PduQ
cd03858	carboxypeptidase N/E family protein
pfam02109	DAD/OST2 family dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit
cd17190	FERM, ARHGEF and pleckstrin domain-containing protein 2
pfam17197	DUF5134 domain-containing protein
cd00751	thiolase family protein
cl16912	MDR/zinc-dependent alcohol dehydrogenase-like family protein
cd07852	mitogen-activated protein kinase
cl01947	methyltransferase-A70 family protein
PTZ00083	40S ribosomal protein S27
PRK13204	urease subunit beta
cd07378	tartrate-resistant acid phosphatase type 5 family protein
pfam03094	MLO family protein
PRK09493	glutamine ABC transporter ATP-binding protein GlnQ
pfam02946	GTF2I repeat domain-containing protein
cd04586	CBS domain-containing protein
pfam13800	anti-sigma factor
PRK09981	YfcZ/YiiS family protein
smart00734	replication-associated recombination A family protein
COG0810	energy transducer TonB
TIGR01444	FkbM family methyltransferase
PRK05380	CTP synthase
COG0664	Crp/Fnr family transcriptional regulator
cl28089	TrkH family potassium uptake protein
PRK11670	MRP family ATP-binding protein
PRK10002	porin OmpF
COG2084	NAD(P)-dependent oxidoreductase
cd00801	site-specific integrase
cl01728	YybS family protein
pfam07716	bZIP transcription factor
COG1566	HlyD family secretion protein
cd07343	M48 family metallopeptidase
pfam08733	PalH/RIM21 family protein
pfam02743	sensor histidine kinase
cd13166	cerebral cavernous malformations 2 family protein
cd12478	RNA-binding protein
PRK10790	multidrug ABC transporter permease/ATP-binding protein
pfam11146	DUF2905 domain-containing protein
PRK04296	thymidine kinase
COG1122	energy-coupling factor ABC transporter ATP-binding protein
cd16469	RING finger protein 122
PRK09240	2-iminoacetate synthase
PRK05690	molybdopterin-synthase adenylyltransferase MoeB
pfam07102	DUF1364 domain-containing protein
smart01004	porphobilinogen synthase
cd12538	zinc finger CCCH domain-containing protein
cd06071	BEACH domain-containing protein
pfam03738	glutathionylspermidine synthase family protein
smart00649	39S ribosomal L11 family protein
pfam10213	mS35 family ribosomal protein
TIGR01318	glutamate synthase small subunit
pfam05769	SIKE family protein
cl36710	RPA1 family protein
COG5138	DNA replication complex GINS protein PSF3
CHL00042	30S ribosomal protein S8
pfam10574	arpin
cl34983	syntaxin family protein
TIGR00536	peptide chain release factor N(5)-glutamine methyltransferase
CHL00121	50S ribosomal protein L27
cl17238	RING finger protein 135
cd11642	uroporphyrinogen-III C-methyltransferase
PRK11655	chorismate pyruvate-lyase
cd18382	KCNG/Kv6 family potassium voltage-gated channel protein
COG2267	alpha/beta hydrolase
cl34882	5 -3  exoribonuclease
cd18081	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
pfam09815	XK-related protein
cd03025	DsbA family protein
pfam02940	mRNA triphosphatase
COG5098	CND1 family protein
cl17037	actin family protein
pfam01090	eS19 family ribosomal protein
PRK06291	aspartate kinase
TIGR03127	6-phospho-3-hexuloisomerase
COG0455	MinD/ParA family protein
cd04155	ADP-ribosylation factor-like protein 3
pfam05193	insulinase family protein
cd14690	bZIP transcription factor
MTH00218	NADH dehydrogenase subunit 1
pfam13217	YozQ family protein
cl00015	nucleotidyl transferase family protein
COG0186	uS17 family ribosomal protein
cd11431	basic helix-loop-helix domain-containing protein
PRK15477	oxalacetate decarboxylase subunit beta
TIGR01620	DUF697 domain-containing protein
cd10810	glycoside hydrolase family 38 protein
cd20271	protein FMC1 homolog
COG5044	RAB geranylgeranyltransferase subunit A family protein
cd22082	cyclin F
PRK09786	crossover junction endodeoxyribonuclease RusA
PRK00191	Sec-independent protein translocase subunit TatA
PRK09607	30S ribosomal protein S11
cd08397	phosphatidylinositol 3-kinase
PRK07810	O-succinylhomoserine sulfhydrylase
PRK01123	shikimate kinase
COG0744	penicillin-binding protein
pfam10949	DUF2777 domain-containing protein
cd12322	RNA-binding protein
pfam13472	SGNH/GDSL hydrolase family protein
cd11301	alpha-1,2-fucosyltransferase
COG1374	PUA domain-containing protein
PRK10568	molecular chaperone OsmY
PRK00295	SlyX family protein
cd05269	SDR family oxidoreductase
cl15397	ARMT1-like domain-containing protein
cl29285	nucleoside monophosphate kinase
pfam03611	PTS galactitol transporter subunit IIC
PRK14160	nucleotide exchange factor GrpE
cd00924	cytochrome c oxidase subunit Vb family protein
cl30355	type I glyceraldehyde-3-phosphate dehydrogenase
pfam10708	RDD family protein
cd16185	EF hand domain-containing protein
cl02103	repressor of RNA polymerase III transcription MAF1
cd21996	Lef/Tcf family HMG-box domain-containing protein
pfam12463	short transient receptor potential channel 4-associated protein
PRK15435	bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada
pfam01199	60S ribosomal protein L34
pfam06677	autoantigen p27 domain-containing protein
PRK00919	glutamine-hydrolyzing GMP synthase subunit GuaA
PRK11727	23S rRNA (adenine(1618)-N(6))-methyltransferase
COG0346	VOC family protein
COG3037	PTS ascorbate transporter subunit IIC
COG5021	HECT-type E3 ubiquitin transferase
cl37816	Aim21 family protein
COG2072	NAD(P)/FAD-dependent oxidoreductase
cd22170	F-box only protein 5
cl27170	DUF460 domain-containing protein
cd16628	E3 ubiquitin-protein ligase RNF14
pfam03161	LAGLIDADG endonuclease
TIGR01554	phage major capsid protein
pfam01076	plasmid recombination protein
pfam05277	TMCO4 family protein
pfam09415	CENP-X/MHF2 family protein
pfam00553	cellulose-binding domain-containing protein
cd02601	eyes absent family protein
PRK09194	proline--tRNA ligase
MTH00104	NADH dehydrogenase subunit 1
pfam05210	sprouty family protein
cd05574	D6PK family serine/threonine-protein kinase
cd04794	LanC-like protein
PRK05355	3-phosphoserine/phosphohydroxythreonine transaminase
pfam04675	HTH_XRE and DNA_ligase_A_N domain-containing protein
pfam00829	bL21 family ribosomal protein
cl36705	RAD4 DNA repair family protein
COG1108	metal ABC transporter permease
pfam01825	adhesion G protein-coupled receptor
cd05295	malate dehydrogenase family protein
pfam15375	DUF4602 domain-containing protein
cd14785	V-type proton ATPase subunit C
cl20256	vacuolar protein sorting-associated protein 35
pfam10226	coiled-coil domain-containing protein 85
COG2963	transposase
cd09806	SDR family oxidoreductase
pfam09693	XkdX family protein
TIGR01072	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
PTZ00399	cysteine--tRNA ligase
pfam17356	XtrA/YqaO family protein
pfam05546	sensitive to high expression protein 9 homolog
cl09936	acyl carrier protein
PRK15054	nitrate reductase molybdenum cofactor assembly chaperone
PRK05646	lipid A biosynthesis lauroyl acyltransferase
pfam02635	DsrE family protein
pfam07273	DUF1439 domain-containing protein
pfam11331	zinc ribbon domain-containing protein
TIGR02395	RNA polymerase sigma-54 factor
pfam10516	SHNi-TPR domain-containing protein
COG0530	sodium:calcium antiporter
PLN00181	E3 ubiquitin-protein ligase COP1
PRK10578	TRIC cation channel family protein
TIGR03381	N-carbamoylputrescine amidase
PRK10446	RimK family alpha-L-glutamate ligase
cd19695	emc family basic helix-loop-helix domain-containing protein
TIGR02125	Ni/Fe-hydrogenase, b-type cytochrome subunit
smart00547	zinc finger Ran-binding domain-containing protein
PRK05684	flagellar assembly peptidoglycan hydrolase FlgJ
TIGR02663	nitrogen fixation protein NifX
pfam04938	SIP1 domain-containing protein
PRK00099	50S ribosomal protein L10
pfam08279	transcriptional regulator
TIGR00847	cbb3-type cytochrome oxidase assembly protein
PRK05715	NADH-quinone oxidoreductase subunit NuoK
pfam09981	siderophore-interacting protein
pfam03475	MOSC domain-containing protein
pfam02238	cytochrome c oxidase subunit 7
cd01865	ras-related protein Rab3
cd16328	sigma-E factor negative regulatory protein
cd08484	LysR family transcriptional regulator
cd00077	HD family phosphohydrolase
COG3779	DUF2314 domain-containing protein
COG1677	flagellar hook-basal body complex protein FliE
pfam05859	Mis12 domain-containing protein
cl31180	ABC transporter ATP-binding protein/permease
smart01086	ATP-dependent Clp protease ATP-binding subunit
PRK03642	peptidase S12 family protein
PRK05617	enoyl-CoA hydratase/isomerase family protein
TIGR00914	efflux RND transporter permease subunit
cd03880	glutaminyl-peptide cyclotransferase family protein
pfam02318	melanophilin
