Complex ac	Recommended name
CPX-872	RXRbeta-VDR nuclear hormone receptor complex
CPX-269	Cytochrome bd-II ubiquinol oxidase complex
CPX-1718	GARP tethering complex
CPX-1100	DRM complex
CPX-8094	SWI5-SFR1 recombination accessory factor
CPX-3823	epg-6-atg-2 complex
CPX-3573	Acetolactate synthase I complex
CPX-1609	WMM N6-adenosine-methyltransferase complex
CPX-1438	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK11
CPX-858	CHRAC chromatin remodeling complex
CPX-2443	Dystrophin glycoprotein complex, neuromuscular junction variant
CPX-1866	SIT4-SAP190 phosphatase complex
CPX-3384	LAS1 RNA processome complex
CPX-1272	Condensin II complex
CPX-272	5-hydroxytryptamine-3A/D receptor complex
CPX-2526	Replication fork protection complex
CPX-7202	ESCRT-I complex, VPS37C-UBAP1 variant
CPX-869	FET5-FTH1 high affinity iron exporter complex
CPX-4449	Low affinity betaine ABC transporter complex
CPX-2759	CRL4-CRBN E3 ubiquitin ligase complex, CUL4A variant 
CPX-3887	TRPP complex
CPX-5993	26S Proteasome complex
CPX-3256	Kv4.3-KChIP1 channel complex
CPX-4325	Glutathione ABC transporter complex
CPX-6240	CL-LK-MASP2 lectin-protease complex
CPX-4005	Exodeoxyribonuclease VII complex
CPX-6419	bZIP transcription factor complex, ATF2-JDP2
CPX-1390	Kinesin I motor complex, klc-2 variant
CPX-1934	dnaB-dnaC complex
CPX-2009	Cyclin B3-CDK2 complex
CPX-6019	Putative dimethyl sulfoxide reductase
CPX-6721	bZIP transcription factor complex, ATF7-ATF7
CPX-2890	PDGF receptor alpha-beta - PDGF-DD complex
CPX-281	Hydrogenase-1 complex
CPX-2538	SCF E3 ubiquitin ligase complex, KDM2A variant
CPX-6664	Serine palmitoyltransferase complex, SPTLC1-SPTLC2-SPTSSB variant
CPX-2647	SEC61 translocon complex, SEC61G1 variant
CPX-4403	Ferric-citrate ABC transporter complex
CPX-2346	Non-canonical BRAHMA-associated SWI/SNF ATP-dependent chromatin remodeling complex
CPX-4124	Collagen type VI trimer
CPX-536	cAMP-dependent protein kinase complex variant 1
CPX-5635	Eukaryotic translation initiation factor 4F, EIF4A1 and EIF4G3 variant
CPX-5712	Nucleosome, variant H3.1-H2A.2-H2B.1
CPX-7553	Polycomb repressive complex 1, RING2-PCGF4-CBX7-PHC3 variant
CPX-3321	SIN3A histone deacetylase complex
CPX-6503	GPI-anchor transamidase complex
CPX-6147	SARS-CoV-2 ORF8 complex
CPX-295	NMDA receptor complex, GluN1-GluN2A-GluN2B
CPX-2293	TWS-protein phosphatase 2A complex
CPX-107	Beta-catenin destruction core complex, APC-AXIN1-GSK3A variant
CPX-7545	Polycomb repressive complex 1, RING2-PCGF4-CBX4-PHC1 variant
CPX-467	eNoSc complex
CPX-2772	Chaperonin-containing T-complex
CPX-834	TGF-beta-2-TGFR complex
CPX-652	RXRbeta-LXRbeta nuclear hormone receptor complex
CPX-1791	Thrombospondin 5 complex
CPX-2496	bZIP transcription factor complex, BACH1-DDIT3
CPX-766	Anaphase-Promoting Complex variant 4
CPX-8242	CRL3 E3 ubiquitin ligase complex, KLHL38 variant 
CPX-2158	Hemoglobin HbA complex
CPX-884	LIN-10-LIN-2-LIN-7 complex, LIN7B variant
CPX-1389	lis-1-nud-2 microtubule-associated dynein motor complex
CPX-3276	I(KACh) inward rectifier potassium channel complex
CPX-8183	DUOX1-DUOXA1 dual oxidase complex
CPX-3099	FtsQBL complex 
CPX-2128	Sting complex
CPX-1979	H-NS-Hha transcription factor complex
CPX-2829	ACF chromatin remodeling complex
CPX-227	Neuronal nicotinic acetylcholine receptor complex, alpha9
CPX-7167	ESCRT-I complex, VPS37D-MVB12B variant
CPX-1677	Phosphatidylinositol 3-kinase complex II
CPX-1829	Checkpoint clamp complex
CPX-1647	SF3B complex
CPX-718	HBO1-4.1 histone acetyltransferase complex
CPX-1359	ced-4-ced-9-mac-1 complex
CPX-271	5-hydroxytryptamine-3A/B receptor complex
CPX-6592	L-lactate dehydrogenase complex, A3B1 variant
CPX-1876	Platelet-derived growth factor BB complex
CPX-1453	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK5
CPX-1447	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK20
CPX-2485	bZIP transcription factor complex, BACH2-MAFG
CPX-1720	RNase H2 complex
CPX-7341	RNA decapping and exonuclease complex, DCP1B variant
CPX-1232	SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1A-SMARCA2 variant
CPX-1739	Mannosyl phosphorylinositol ceramide synthase SUR1-CSG2
CPX-1061	Importin complex, KPNA4 variant
CPX-131	HCN4 channel complex
CPX-3481	Shieldin complex
CPX-6473	bZIP transcription factor complex, ATF3-DDIT3
CPX-2922	Hemoglobin HbA complex, variant HBB1
CPX-5826	Kv7.1 channel complex
CPX-2997	rst-sns cell adhesion complex
CPX-734	ISW2 chromatin remodeling complex variant 2
CPX-1541	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK7
CPX-2587	NEDD8 E1 activating enzyme complex, NAE1-UBA3
CPX-4105	Collagen type IX trimer
CPX-5025	Cytoplasmic dynein complex, variant 1
CPX-505	RXRalpha-PXR nuclear receptor complex
CPX-5301	28S mitochondrial small ribosomal subunit
CPX-7142	Hydride transfer complex
CPX-2376	drEAM transcriptional repressor complex, Rbf2 variant
CPX-1805	Dynactin complex
CPX-1703	Prohibitin complex
CPX-4822	Glutamine ABC transporter complex
CPX-2555	Non-canonical polycomb repressive complex 1.6, RING2-RYBP variant
CPX-1557	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-SKP1A
CPX-1953	Replication restart pre-primosome complex priC-rep variant
CPX-956	GET complex
CPX-6087	Anaphase-promoting complex, CDC20 variant
CPX-1185	DCS1-DCS2 regulator of decapping scavenger complex
CPX-2212	Polycomb repressive complex 2.2, EZH1-RBBP7 variant
CPX-7979	SCF E3 ubiquitin ligase complex, FBXO39 variant
CPX-2437	Casein kinase II complex, CSNK2A1-CNSK2A2 variant
CPX-2143	Hpa2 acetyltransferase
CPX-8171	PBA1-PBA2 proteasomal chaperone complex
CPX-711	PPARgamma-NCOA1 activated nuclear receptor complex
CPX-153	Shelterin complex
CPX-3004	Collagen type XXII trimer
CPX-592	Cytoplasmic exosome complex, DIS3L variant
CPX-7530	Polycomb repressive complex 1, RING2-PCGF2-CBX7-PHC1 variant
CPX-607	Actin-related protein 2/3 complex
CPX-3821	nrdDG class III anaerobic ribonucleotide reductase activation complex 
CPX-2712	Little elongation complex, ELL variant
CPX-2833	Camalexin biosynthetic metabolon complex
CPX-1520	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK7
CPX-1693	CLG1-PHO85 kinase complex
CPX-7784	SCF E3 ubiquitin ligase complex, FBXW8-CUL7 variant
CPX-648	CRL4-DDB2 E3 ubiquitin ligase complex, CUL4B variant 
CPX-1839	alpha-1,6-mannosyltransferase complex, M-Pol II variant
CPX-3211	MIS complex
CPX-6600	bZIP transcription factor complex, ATF6B-XBP1
CPX-1172	WASH complex, variant WASHC1/WASHC2A
CPX-6408	bZIP transcription factor complex, ATF2-ATF4
CPX-5052	Ubiquitous AP-3 Adaptor complex, sigma3b variant
CPX-487	uPA-uPAR complex
CPX-946	SBF transcription complex
CPX-2272	Non-canonical polycomb repressive complex 1.1, RING2-PCGF1-YAF2 variant
CPX-1026	DNF3-CRF1 P4-ATPase complex
CPX-1533	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK20
CPX-2761	C/D small nucleolar ribonuclear protein complex
CPX-7081	bZIP transcription factor complex, BATF2-HLF
CPX-408	GABA-A receptor, alpha-4/beta-2/delta
CPX-1496	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK5
CPX-375	brc-1/brd-1 E3 ubiquitin ligase complex
CPX-1372	SNT2C histone deacetylase complex
CPX-7822	SCF E3 ubiquitin ligase complex, FBXW12 variant
CPX-6311	ATP11B-CDC50A P4-ATPase complex
CPX-8008	Survival motor neuron complex, Gem4A variant
CPX-6062	SMAD3-TTF-1 complex 
CPX-2952	GABA-A receptor, alpha-6/beta-2/delta
CPX-2652	Signal recognition particle
CPX-1573	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK17
CPX-6322	Mitochondrial complex I intermediate assembly (MCIA) complex
CPX-8006	SCF E3 ubiquitin ligase complex, FBXO47 variant
CPX-4271	NLRP1a inflammasome
CPX-2056	6-phosphofructokinase, M2L2 heterotetramer
CPX-5741	Prohibitin complex
CPX-5049	Ubiquitous AP-1 Adaptor complex, sigma1c variant
CPX-8071	Chromosomal passenger complex, meiotic variant
CPX-1659	General transcription factor TFIIH complex
CPX-1637	F-actin capping protein complex
CPX-2517	MXD3-MAX transcriptional repressor complex
CPX-2821	USH2 complex
CPX-6010	Interferon omega receptor-ligand complex
CPX-2043	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 complex
CPX-379	Cyclin Y-CDK16 complex
CPX-1205	SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1B-SMARCA2 variant
CPX-5830	NF-kappaB DNA-binding transcription factor complex, p52/c-Rel
CPX-7511	Polycomb repressive complex 1, RING1-PCGF4-CBX6-PHC3 variant
CPX-423	PR-DUB complex
CPX-794	HBO1-4.1 histone acetyltransferase complex
CPX-5860	AMPK complex, alpha1-beta2-gamma2 variant
CPX-3073	Voltage-gated potassium channel complex variant 2
CPX-88	Mitotic spindle assembly checkpoint complex MAD2
CPX-769	Casein kinase II complex, CKA1 variant
CPX-914	Casein kinase II complex, CSNK2A1 variant
CPX-3541	AIM21-TDA2 actin assembly regulator complex
CPX-1156	Central kinetochore CTF19 complex
CPX-8262	CRL3 E3 ubiquitin ligase complex, KLHL41 variant 
CPX-6004	Interferon alpha receptor-ligand complex, IFNA16 variant
CPX-7062	Histone-lysine N-methyltransferase complex, KMT2B variant
CPX-672	RXRalpha-RXRalpha retinoic acid receptor complex
CPX-661	IDAS-Geminin complex
CPX-97	Myc-Max transcriptional activator complex
CPX-2670	GINS complex
CPX-4268	EmrAB-TolC multidrug efflux transport system
CPX-2462	VPS4-VTA1 compex
CPX-1666	MutLalpha endonuclease complex
CPX-8109	CRL3 E3 ubiquitin ligase complex, KLHL20 variant 
CPX-6096	Thyroid-stimulating hormone complex
CPX-2219	FEB1C-Elongin C-Elongin B E3 ubiquitin ligase complex
CPX-3074	Doa10 E3 ubiquitin ligase complex
CPX-4341	Beta-methyl-D-galactoside/galactose ABC transporter complex
CPX-2423	SWR1 chromatin remodelling complex
CPX-3287	HSP90B-CDC37 chaperone complex
CPX-6024	Interferon gamma complex
CPX-5361	tRNA uridine 5-carboxymethylaminomethyl modification complex
CPX-1086	MazEF toxin-antitoxin complex
CPX-5441	SPO16:ZIP2
CPX-1950	dnaA-dnaB-dnaC loader complex
CPX-1947	Methionyl glutamyl tRNA synthetase complex
CPX-3279	INAC inner membrane assembly complex
CPX-1506	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK13
CPX-1297	CPAP-STIL complex
CPX-4281	PaoABC periplasmic aldehyde oxidoreductase 
CPX-4261	NLRP1b inflammasome, allele-1 variant
CPX-1401	LSM1-7-PAT1 complex, variant LSM1A-LSM3B-LSM6A-PAT1H2
CPX-5774	Cubam cobalamin uptake receptor complex
CPX-5681	Enoyl CoA hydratase/isomerase complex
CPX-665	Follicle-stimulating hormone complex
CPX-5544	DNA polymerase V mutasome complex
CPX-6229	KICSTOR complex
CPX-2151	UvrAB DNA damage sensor complex
CPX-4962	CyclinY-CDK17 complex
CPX-2484	bZIP transcription factor complex, BACH2-MAFF
CPX-1314	bI4 intron splicing factor complex
CPX-5821	Oligosaccharyltransferase complex A
CPX-6141	MICOS mitochondrial contact site and cristae organizing system complex
CPX-3068	Inward rectifier potassium channel 2 complex
CPX-1094	YgjD-YeaZ-YjeE complex
CPX-5152	AP-2 Adaptor complex, alpha1 variant
CPX-1462	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK14
CPX-8065	Intron-binding complex 
CPX-2775	CHRAC chromatin remodeling complex
CPX-2290	Non-canonical polycomb repressive complex 1.3, RING1-YAF2-CKIIA1 variant
CPX-1865	SIT4-SAP185 phosphatase complex
CPX-2844	paaABCE phenylacetyl-CoA monooxygenase complex
CPX-346	Cyclin L1-CDK11B(p58) complex
CPX-7061	bZIP transcription factor complex, BATF2-JUNB
CPX-547	PCNA homotrimer
CPX-87	Mitotic spindle assembly checkpoint Mad1-Mad2 complex
CPX-1192	Vacuolar proton translocating ATPase complex, Golgi variant
CPX-6098	SARS-CoV-2 3a complex
CPX-1892	Mitochondrial inner membrane peptidase complex
CPX-3864	ATG12-ATG5 complex
CPX-543	PCNA homotrimer
CPX-4743	Curli secretion complex
CPX-6420	bZIP transcription factor complex, ATF2-JUN
CPX-2076	Cyclin D2-CDK4 complex
CPX-6208	GARP tethering complex
CPX-5801	ZHP-1-ZHP-2 complex
CPX-102	DAPK1 - calmodulin complex
CPX-82	Mitotic spindle assembly checkpoint Mad1 complex
CPX-2034	BAK1 oligomer
CPX-2927	Hemoglobin E complex
CPX-7743	LIN-10-LIN-2-LIN-7 complex, LIN7B variant
CPX-1901	Peroxisomal receptor export module complex
CPX-2990	GABA-B receptor complex
CPX-6132	TIM8B-TIM13 mitochondrial intermembrane space protein transporter complex
CPX-3299	FtsBL complex
CPX-3083	USF2 upstream stimulatory factor complex
CPX-1478	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK8
CPX-4384	Putrescine ABC transporter complex
CPX-1794	Integrin alpha5-beta1 complex
CPX-3014	Laminin-321 complex
CPX-479	Bloc-1 complex
CPX-1137	CORVET complex
CPX-2880	Platelet-derived growth factor DD complex
CPX-2562	WASH complex
CPX-5791	AMPK complex, alpha1-beta2-gamma1 variant
CPX-6238	FCN2-MASP2 lectin-protease complex
CPX-2664	GATOR2 complex
CPX-1925	DNA polymerase III core complex
CPX-915	General transcription factor complex TFIID
CPX-7506	Polycomb repressive complex 1, RING1-PCGF4-CBX4-PHC2 variant
CPX-1782	Laminin-423 complex
CPX-5782	Tol-Pal cell envelope complex
CPX-2407	CRL4-DCAF13 E3 ubiquitin ligase complex, CUL4B variant 
CPX-1517	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK4
CPX-2112	Telosome
CPX-2250	VHL-Elongin C-Elongin B E3 ubiquitin ligase complex
CPX-2000	6-phosphofructokinase, ML3 heterotetramer
CPX-2626	Outer dynein arm-docking complex
CPX-3135	Ryanodine 1 complex
CPX-2877	Nucleolar ribonuclease P complex
CPX-1844	PPP4C-PPP4R2-PPP4R3B protein phosphatase 4 complex
CPX-145	SMAD1 homotrimer
CPX-4983	Exocyst, Exoc6b variant
CPX-137	VCP-NPL4-UFD1 AAA ATPase complex
CPX-8241	CRL3 E3 ubiquitin ligase complex, ENC1 variant 
CPX-682	Exon junction core complex, MAGOHB variant
CPX-905	AHNAK - Annexin A2 - S100-A10 complex
CPX-2084	Cyclin E2-CDK2 complex
CPX-3461	Chromosomal passenger complex
CPX-2176	Gamma-secretase complex, APH1A-PSEN1 variant
CPX-2497	bZIP transcription factor complex, BACH1-MAFB
CPX-2181	Protein farnesyltransferase complex
CPX-1603	37S mitochondrial small ribosomal subunit
CPX-1379	Mitochondrial succinyl-CoA synthetase complex
CPX-2327	Polycomb repressive complex 2.1, EZH2-RBBP7-PCL2-EPOP variant
CPX-154	Bub1-Bub3 complex
CPX-2177	GyrA-GyrB DNA Gyrase complex
CPX-6472	bZIP transcription factor complex, ATF3-CEBPE
CPX-1811	Sir2-3-4 silent chromatin complex
CPX-955	BRCC E3 ubiquitin ligase complex
CPX-7849	2-(3-amino-3-carboxypropyl)histidine synthase complex
CPX-1558	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-SKP1B
CPX-113	Survivin homodimer complex
CPX-2375	Tapasin-ERp57 complex
CPX-2418	Beta-catenin destruction complex, Apc variant
CPX-1467	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK19
CPX-3482	Eukaryotic translation initiation factor 4E-Mxt complex
CPX-1036	DNA mismatch repair MutSbeta complex
CPX-5909	Replication restart primosome complex, priAC variant
CPX-8108	SCF E3 ubiquitin ligase complex, TSPAN17 variant
CPX-1736	Collagen type VI trimer
CPX-6601	bZIP transcription factor complex, ATF6B-CREBZF
CPX-634	Ccr4-Not complex
CPX-6188	Scribble cell polarity complex, DLG5-LLGL1-SCRIB variant
CPX-1442	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK15
CPX-6312	ATP11C-CDC50A P4-ATPase complex
CPX-585	MUS81-EME1 structure-specific endonuclease complex
CPX-1566	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK10
CPX-8149	PRMT5 methylosome complex, COPR5 variant
CPX-2510	Adaptor complex AP-1
CPX-5462	Endosomal SNARE complex PEP12-VTI1-TLG1-SNC2
CPX-2549	mRNA nuclear export factor NXF5-NXT2
CPX-565	Mitochondrial respiratory chain complex II
CPX-2745	ATG1 protein kinase complex
CPX-1143	General transcription factor TFIIIB complex
CPX-485	UBC13-UEV1A ubiquitin-conjugating enzyme E2 complex
CPX-6194	PAR cell polarity complex, PARD6G-PRKCI variant
CPX-2005	Cyclin A1-CDK2 complex
CPX-374	Zyg-8/Tac-1 complex
CPX-5846	AMPK complex, alpha1-beta2-gamma2 variant
CPX-4041	PKD1-PKD2 Polycystin complex
CPX-6478	bZIP transcription factor complex, ATF3-FOSL1
CPX-1564	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1A-ASK8
CPX-3021	Laminin-523 complex
CPX-1015	MET4-MET28-MET32 sulfur metabolism transcription factor complex 
CPX-3120	integrin alpha6-beta4 complex
CPX-1532	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK19
CPX-4321	Dipeptide ABC transporter complex
CPX-4463	Matrilin-1 complex
CPX-3090	Glutathione-regulated potassium-efflux system KefB-KefG complex
CPX-2731	Mitochondrial electron transfer flavoprotein complex
CPX-6902	TRAPP II complex, TRAPPC2B variant
CPX-280	GABA-A receptor, alpha-4/beta-3/delta
CPX-2859	CRL4-DCAF4 E3 ubiquitin ligase complex, CUL4B variant 
CPX-4312	Taurine ABC transporter complex
CPX-7925	SCF E3 ubiquitin ligase complex, FBXO15 variant
CPX-1644	HOP2-MND1 recombination assembly factor complex
CPX-2755	BLOC-2 complex
CPX-309	BIK:BCL-w complex
CPX-7146	ESCRT-I complex, VPS37A-MVB12B variant
CPX-800	MOZ1 histone acetyltransferase complex
CPX-7102	bZIP transcription factor complex, BATF3-JUND
CPX-6788	bZIP transcription factor complex, ATF7-JUND
CPX-2117	Alkanesulfonate monooxygenase complex
CPX-5866	Keratin-80- Keratin-82 dimer complex
CPX-550	Ndc80 complex
CPX-8132	VCP-VCPIP1 AAA ATPase complex
CPX-6023	GatYZ tagatose-1,6-bisphosphate aldolase complex
CPX-6285	ATP8A1-CDC50A P4-ATPase complex
CPX-12	SMAD3 homotrimer
CPX-3891	FACT complex hmg-4 variant
CPX-128	LDLR-PCSK9 complex
CPX-314	Amiloride-sensitive sodium channel complex, alpha-beta-gamma
CPX-1169	WASH complex, variant WASH3P/WASHC2C
CPX-5642	Kinetochore SKA complex
CPX-1631	tRNA (adenine(58)-N(1))-methyltransferase complex
CPX-2024	BID:BCL-2 complex
CPX-1685	BUR1-BUR2 kinase complex
CPX-806	Ndc80 complex
CPX-1852	RPD3L histone deacetylase complex
CPX-6591	Platelet-derived growth factor AB complex
CPX-2067	Cyclin A1-CDK2 complex
CPX-1820	Integrin alphav-beta6 complex
CPX-246	Amylin receptor 1 complex
CPX-5713	Nucleosome, variant H3.2-H2A.2-H2B.1
CPX-5145	Ubiquitous AP-3 Adaptor complex, sigma3a variant
CPX-5700	Kinetochore SKA complex
CPX-3013	Laminin-311 complex variant A
CPX-575	Ste12/Dig1/Dig2 transcription regulation complex
CPX-2969	Collagen type VIII trimer variant 3
CPX-2310	Polycomb repressive complex 2.1, EZH1-RBBP4-PCL2-PALI1 variant
CPX-1306	Nascent polypeptide-associated complex, EGD1-EGD2 variant
CPX-1992	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 complex
CPX-3154	PTEN phosphatase complex
CPX-2267	SOD1-CCS1 superoxide dismutase heterodimer
CPX-7097	bZIP transcription factor complex, BATF3-CEBPG
CPX-2591	Polycomb repressive complex 2, Pcl variant
CPX-4482	MCM complex
CPX-6569	bZIP transcription factor complex, ATF4-NFE2L1
CPX-2432	Positive transcription elongation factor B complex
CPX-4115	RnlAB toxin-antitoxin complex
CPX-2429	DSIF transcription elongation complex
CPX-3180	Mitochondrial degradosome complex
CPX-1251	Embryonic stem cell-specific SWI/SNF ATP-dependent chromatin remodeling complex
CPX-8142	Sodium:potassium-exchanging ATPase complex, FXYD4 variant
CPX-241	Cyclin K-CDK12 complex
CPX-2397	General transcription factor TFIII3B complex, BRF2 variant
CPX-995	KEOPS tRNA N6-adenosine threonylcarbamoyltransferase complex
CPX-2617	Polycomb repressive complex 1, RING1-PCGF2-CBX6-PHC2 variant
CPX-6037	MAVS-TRAF3 E3 ubiquitin ligase complex
CPX-398	ced-9-egl-1 complex
CPX-816	RXRalpha-RARalpha-NCOA2 retinoic acid receptor complex
CPX-3114	Integrin alpha1-beta1 complex
CPX-1130	Beta-catenin-lit-1 complex
CPX-25	U4/U6.U5 tri-small nuclear ribonucleoprotein complex
CPX-539	TIM23 mitochondrial inner membrane pre-sequence translocase complex, motor variant
CPX-195	Inward rectifying potassium channel complex, Kir6.2-SUR1
CPX-1421	NOP8 60s ribosome pre-assembly complex
CPX-2249	Protein geranylgeranyltransferase type II complex
CPX-3034	Acetolactate synthase complex
CPX-4230	GBAF (SWI/SNF) ATP-dependent chromatin remodeling complex, ACTL6B-BICRAL-SMARCA4 variant
CPX-1746	Collagen type VIII trimer variant 2
CPX-1551	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK17
CPX-1076	mCRD-poly(A)-bridging complex
CPX-3581	AMT1-3 homotrimer
CPX-1615	Checkpoint clamp complex
CPX-2209	Polycomb repressive complex 2.2, EZH2-RBBP4 variant
CPX-1765	Collagen type XXIV trimer
CPX-4207	GBAF (SWI/SNF) ATP-dependent chromatin remodeling complex, ACTL6A-BICRAL-SMARCA4 variant
CPX-324	Positive transcription elongation factor B, CDK9-cyclinT2b complex
CPX-1247	Muscle cell-specific SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6B-ARID1B-SMARCA4 variant
CPX-1346	LSM1-7-PAT1 complex, variant LSM1A-LSM3B-LSM6A-PAT1
CPX-3146	Mitochondrial DNA-directed RNA polymerase complex
CPX-3208	SMAD2-SMAD4 complex
CPX-892	TLR2-TLR6 toll-like receptor complex
CPX-1363	SAW1-RAD1-RAD10 endonuclease complex
CPX-3196	ERMES complex
CPX-3572	TGA2-NPR1 complex
CPX-3294	PAN2-PAN3 mRNA deadenylation complex
CPX-6197	PAR cell polarity complex, PARD6A-PRKCZ variant
CPX-962	Mitotic checkpoint complex, CDC20-MAD2 subcomplex
CPX-260	HCN1 channel complex
CPX-2920	Protein geranylgeranyltransferase type II complex
CPX-1884	HDA1 histone deacetylase complex
CPX-1228	Muscle cell-specific SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6B-ARID1B-SMARCA4 variant
CPX-1987	PUMA:BCL-XL complex
CPX-2451	Endoplasmic reticulum membrane complex, EMC2B variant
CPX-3173	Collagen type XVIII trimer
CPX-1548	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1B-ASK14
CPX-4749	TRAPP II complex, TRAPPC2 variant
CPX-1894	COP9 signalosome complex
CPX-268	Cytochrome bd-I ubiquinol oxidase complex
CPX-2685	Glycosylphosphatidylinositol-N-acetylglucosaminyltransferase complex
CPX-5976	Phosphatidylinositol 3-kinase complex class IA, p110beta/p85beta
CPX-6169	Mitochondrial propionyl-CoA carboxylase complex
CPX-6781	bZIP transcription factor complex, ATF7-BACH1
CPX-7929	SCF E3 ubiquitin ligase complex, LMO7 variant
CPX-1007	Calcineurin-Calmodulin complex, gamma-R1 variant
CPX-1587	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK10
CPX-26	U2 small nuclear ribonucleoprotein complex
CPX-4232	Gamma-secretase complex, APH1B-PSEN2 variant
CPX-2026	BIM:BCL-XL complex
CPX-1163	WASH complex, variant WASHC1/WASHC2C
CPX-611	bZIP transcription factor complex, Fos-Jun
CPX-3168	Methionine adenosyltransferase complex variant 1
CPX-366	Cyclin K-Cdk13 complex
CPX-5465	Vesicular SNARE complex SSO2-SEC9-SNC2
CPX-719	HBO1-4.2 histone acetyltransferase complex
CPX-4383	Spermidine ABC transporter complex
CPX-2226	KLHDC2-Elongin C-Elongin B E3 ubiquitin ligase complex
CPX-6180	CRUMBS2-PALS1-PATJ cell polarity complex
CPX-1014	Tenascin-X complex
CPX-5942	Galactitol-specific enzyme II complex
CPX-2424	Dystrophin glycoprotein complex, skeletal muscle variant
CPX-1323	CDC48-RAD23-UFD2 complex
CPX-5718	Elongasome complex
CPX-2898	[Cu-Zn] Superoxide dismutase complex
CPX-690	Beta-hexosaminidase B complex
CPX-8130	CRL3 E3 ubiquitin ligase complex, KLHL26 variant 
CPX-4921	E3 ligase (RANBP2) complex
CPX-3583	AMT1-1 - AMT1-3 heterotrimer, variant 2
CPX-3322	SIN3B histone deacetylase complex
CPX-2537	LINC complex, SUN1-KASH5 variant
CPX-2677	Glycosylphosphatidylinsitol ethanolamine-phosphate transferase II complex
CPX-273	5-hydroxytryptamine-3A/E receptor complex
CPX-7850	2-(3-amino-3-carboxypropyl)histidine synthase complex
CPX-2978	Collagen type XII trimer
CPX-2465	Exocyst
CPX-3107	Collagen type IV trimer variant 1
CPX-5994	Frw fuctose-like enzyme II complex
CPX-6084	MITOK-MITOSUR mitochondrial potassium channel complex
CPX-7100	bZIP transcription factor complex, BATF3-JUN
CPX-7201	ESCRT-I complex, VPS37B-UBAP1 variant
CPX-7535	Polycomb repressive complex 1, RING2-PCGF2-CBX8-PHC3 variant
CPX-325	Glutathione hydrolase complex
CPX-7110	Histone-lysine N-methyltransferase complex, SET1A variant
CPX-7554	Polycomb repressive complex 1, RING2-PCGF4-CBX8-PHC1 variant
CPX-2663	Actin-related protein 2/3 complex, ARPC1B-ACTR3-ARPC5L variant
CPX-2055	6-phosphofructokinase, ML3 heterotetramer
CPX-2363	BCDX2 complex
CPX-1136	HOPS complex
CPX-1345	LSM1-7-PAT1 complex, variant LSM1A-LSM3B-LSM6B-PAT1
CPX-1273	Condensin I-like dosage compensation complex
CPX-6018	STING-TRAF3-TBK1 complex
CPX-2308	Core mediator complex
CPX-1448	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK21
CPX-2157	Protein geranylgeranyl transferase type I complex
CPX-2127	STING complex
CPX-2059	6-phosphofructokinase, M2L2 heterotetramer
CPX-3277	I(KACh) inward rectifier potassium channel complex
CPX-6641	ASCC DNA alkylation repair complex
CPX-1646	G protein heterotrimer
CPX-7546	Polycomb repressive complex 1, RING2-PCGF4-CBX4-PHC2 variant
CPX-1505	SCF(COI1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK12
CPX-1877	LUBAC ubiquitin ligase complex
CPX-577	Mitochondrial respiratory chain complex I
CPX-96	Galectin-2 complex
CPX-767	RAG guanosine triphosphatase complex, RAGB-RAGD variant
CPX-3036	PMT1-PMT2 dolichyl-phosphate-mannose-protein mannosyltransferase complex
CPX-4324	Glutamate/aspartate ABC transporter complex
