Complex ac	Recommended name
CPX-2535	CCR4-NOT mRNA deadenylase complex, CNOT6L-CNOT8 variant
CPX-2231	MYCN-MAX transcriptional activator complex
CPX-1589	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK12
CPX-4263	AcrAB-TolC multidrug efflux transport complex
CPX-7462	Myb-MuvB-FOXM1 transcriptional activation complex
CPX-2868	LKB1-STRAD-MO25 serine/threonine protein kinase complex, CAB39-STRADB variant
CPX-4381	Phosphate ABC transporter complex
CPX-756	Anaphase-Promoting core complex 
CPX-4422	Putative peptide ABC transporter
CPX-6367	Katanin complex, KATNAL2-KATNB1 variant
CPX-1988	BAX oligomer
CPX-631	RXRalpha-VDR nuclear hormone receptor complex
CPX-6143	R2TP core co-chaperone complex
CPX-1230	BNI4-GLC7 phosphatase complex
CPX-2572	Tubulin polyglutamylase complex
CPX-5840	AMPK complex, alpha2-beta2-gamma3 variant
CPX-1242	Muscle cell-specific SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A-ARID1B-SMARCA2 variant
CPX-1140	HICS complex
CPX-1423	COX1 pre-assembly complex
CPX-2524	TLR2-TLR10 toll-like receptor complex
CPX-7482	DNA-directed RNA polymerase III complex, POLR3GL variant
CPX-2784	CRL4-DCAF6 E3 ubiquitin ligase complex, CUL4A variant 
CPX-2579	Actin-related protein 2/3 complex, ARPC1B-ACTR3-ARPC5 variant
CPX-7972	SCF E3 ubiquitin ligase complex, FBXO32 variant
CPX-1342	SET3C histone deacetylase complex
CPX-1981	BCL-2 dimer
CPX-1214	GLD-2-GLD-3 complex
CPX-810	RZZ complex
CPX-1382	TAP42-RRD2-PPH22 phosphatase complex
CPX-3113	Glucose transporter complex 1
CPX-243	Respiratory chain complex I
CPX-6595	bZIP transcription factor complex, ATF6-ATF6B
CPX-2348	HUSH epigenetic repressor complex
CPX-1653	Retromer complex
CPX-359	Cyclin K-CDK13 complex
CPX-2916	PDGF receptor alpha-beta - PDGF-DD complex
CPX-110	Nuclear export complex Frat2-Gsk3b
CPX-4944	Exocyst, EXOC6B variant
CPX-2344	N6-methyladenosine methyltransferase complex
CPX-5183	60S cytosolic large ribosomal subunit
CPX-473	TOM40 mitochondrial outer membrane translocase core complex
CPX-7012	bZIP transcription factor complex, BACH1-BATF
CPX-1053	Cleavage and polyadenylation specificity factor complex
CPX-968	Oligosaccharyl transferase complex
CPX-8166	MON1-CCZ1B guanyl-nucleotide exchange factor complex, MON1B variant
CPX-7978	RNA polymerase I selectivity factor 1 compex
CPX-1439	SCF(COI1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK12
CPX-134	RISC-loading complex, TARBP2 variant
CPX-319	Trimethylamine-N-oxide reductase TorAC complex
CPX-5995	Interferon alpha receptor-ligand complex, IFNA2 variant
CPX-2919	Protein geranylgeranyltransferase type II complex
CPX-1285	Laminin221-nidogen complex 
CPX-251	Cyclin K-CDK12 complex
CPX-1521	SCF(TIR1) ubiquitin ligase complex, variant CUL1-RBX1A-ASK8
CPX-1384	SUM1-RFM1-HST1 histone deacetylase complex
CPX-1995	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 complex
CPX-2369	Nuclear origin recognition complex
CPX-853	Annexin A2 - S100-A10 complex
CPX-6175	Mitochondrial succinyl-CoA synthetase complex, GTP-specific variant
CPX-1594	SCF(TIR1) ubiquitin ligase complex, variant CUL2-RBX1B-ASK17
CPX-716	RXRbeta-LXRalpha nuclear hormone receptor complex
CPX-1035	Tenascin-X complex
CPX-2888	PDGF receptor alpha-beta - PDGF-CC complex
CPX-68	bZIP transcription factor complex, Cebpb-Cebpb
CPX-5621	Oligosaccharyltransferase complex A
CPX-100	Cathepsin-B - cystatin-A complex
CPX-326	Cyclin M-CDK10 complex
CPX-8041	CRL3 E3 ubiquitin ligase complex, KLHL3 variant 
CPX-365	GARP tethering complex
CPX-3016	Laminin-511 complex
CPX-1290	Intraflagellar transport complex B
CPX-2542	RAG guanosine triphosphatase complex, RAGA-RAGC variant
CPX-3236	Amylin receptor 2 complex
CPX-1308	LSM1-7-PAT1 complex, variant LSM1A-LSM3A-LSM6A-PAT1
CPX-3270	IkappaB kinase complex
CPX-998	Calcineurin-Calmodulin-AKAP5 complex, beta-R1 variant
CPX-5222	Phenylalanyl-tRNA synthetase complex
CPX-1855	Golgi SNARE complex SED5-GOS1-SFT1-YKT6
CPX-7801	Kip1 ubiquitylation-promoting complex
CPX-8023	BOS complex, NOMO3 variant
CPX-6233	Mitochondrial pyruvate dehydrogenase complex, somatic variant
CPX-5633	AMPK complex, alpha1-beta1-gamma1 variant
CPX-2899	PDGF receptor alpha - PDGF-AA complex
CPX-2881	PDGF receptor alpha - PDGF-AA complex
CPX-1813	1,3-beta-D-glucan synthase complex, FKS2-RHO1 variant
CPX-2126	Glycine/Proline betaine ABC transporter complex
CPX-6570	bZIP transcription factor complex, ATF4-NFE2L2
CPX-3251	SMAD2-SMAD4 complex
CPX-6017	RZZ complex
CPX-99	Beta-catenin destruction core complex, APC2-AXIN1-GSK3B variant
CPX-8188	Y+LAT2-4F2 heteromeric amino acid transporter complex
CPX-2889	PDGF receptor beta - PDGF-DD complex
CPX-6083	MITOK-MITOSUR mitochondrial potassium channel complex
CPX-723	HBO1-5.3 histone acetyltransferase complex
CPX-2516	SCF E3 ubiquitin ligase complex, FBXL6 variant
CPX-1270	Glycosylphosphatidylinositol-mannosyltransferase I complex
CPX-7923	SCF E3 ubiquitin ligase complex, FBXO10 variant
CPX-691	Beta-hexosaminidase S complex
CPX-1822	Integrin alpha6-beta4 complex
CPX-2441	Elg1-RFC-like complex
CPX-1798	Integrin alpha1-beta1 complex
CPX-6924	GRX3 iron-sulfur cluster assembly homodimer complex
CPX-2102	Cytochrome bo3 ubiquinol oxidase complex
CPX-278	5-hydroxytryptamine-3A receptor complex
CPX-2700	Hedgehog signalling complex
CPX-808	Knl-1/Mis12/MIND complex
CPX-760	Anaphase-Promoting Complex, CDC20 variant
CPX-568	Chromatin assembly factor 1 complex
CPX-6309	ATP10D-CDC50A P4-ATPase complex
CPX-1131	Prmt-5-cep-1-cbp-1 complex
CPX-2747	BBSome complex
CPX-1874	Platelet-derived growth factor AA complex
CPX-680	Exon junction subcomplex MAGOHB-Y14
CPX-369	Ribonucleoside-diphosphate reductase RR1 complex, RRM2B variant
CPX-1722	Mitochondrial respiratory chain complex IV, COX5B variant
CPX-7547	Polycomb repressive complex 1, RING2-PCGF4-CBX4-PHC3 variant
CPX-2993	Collagen type XV trimer
CPX-2972	WAVE regulatory complex
CPX-1266	REG1-GLC7 phosphatase complex
CPX-7522	Polycomb repressive complex 1, RING2-PCGF2-CBX2-PHC2 variant
CPX-6196	PAR cell polarity complex, PARD6B-PRKCZ variant
CPX-836	TGF-beta-2-TGFR complex
CPX-6181	CL-LK-MASP1 lectin-protease complex
CPX-2362	NuRF nucleosome remodelling factor
CPX-3092	Ryanodine 1 complex
CPX-2827	SMG1C protein kinase complex
CPX-3205	KIF3 complex variant AC-KAP3
CPX-2040	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 complex
CPX-6151	Mitochondrial proton-transporting ATP synthase complex
CPX-35	ANPR-A receptor complex
CPX-6417	bZIP transcription factor complex, ATF2-FOSL1
CPX-1649	RES complex
CPX-2291	Non-canonical polycomb repressive complex 1.3, RING2-RYBP-CKIIA2 variant
CPX-654	RXRalpha-TRbeta nuclear hormone receptor complex
CPX-1301	CEP152-PLK4 complex
CPX-8135	CRL3 E3 ubiquitin ligase complex, KLHL28 variant 
CPX-1748	Collagen type IX trimer
CPX-802	MOZ3 histone acetyltransferase complex
CPX-4314	Arabinose ABC transporter complex
CPX-2699	TLR1-TLR10 toll-like receptor complex
CPX-3228	CLOCK-BMAL2 transcription complex
CPX-4741	Ragulator complex
CPX-2242	mlc-EIIB transcriptional regulator complex
CPX-4407	Zinc ABC transporter complex
CPX-3213	Rhino-Deadlock-Cutoff Complex
CPX-2666	Eukaryotic translation initiation factor 4F, EIF4A1 and EIF4G1 variant
CPX-2265	TORC1 complex
CPX-266	Mitochondrial respiratory chain complex I
CPX-1994	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 complex
CPX-796	HBO1-4.3 histone acetyltransferase complex
CPX-2999	hbs-kirre cell adhesion complex
CPX-4141	NLRP3 inflammasome
CPX-702	PPARgamma-NCOA2 activated nuclear receptor complex
CPX-8125	CRL3 E3 ubiquitin ligase complex, KLHL24 variant 
CPX-54	SMAD1-SMAD4 complex 
CPX-5154	AP-4 Adaptor complex
CPX-2099	DNA polymerase delta complex
CPX-1199	Polybromo-associated SWI/SNF ATP-dependent chromatin remodeling complex, ACTL6A variant
CPX-6184	Scribble cell polarity complex, DLG2-LLGL2-SCRIB variant
CPX-14	SMAD3 homotrimer
CPX-2580	Actin-related protein 2/3 complex, ARPC1B-ACTR3B-ARPC5L variant
