DiseaseID	DiseaseName
MESH:D004370	Duane Retraction Syndrome
DOID:0060844	Norrie disease
DOID:0111765	X-linked cardiac valvular dysplasia
DOID:0111936	Immunodeficiency 14
MESH:D009456	Neurofibromatosis 1
MESH:C567099	Mucolipidosis III Alpha Beta, Atypical
MESH:C564243	Prolonged Electroretinal Response Suppression
MESH:C564603	Hypoprebetalipoproteinemia, Acanthocytosis, Retinitis Pigmentosa, And Pallidal Degeneration
DOID:0050730	Coenzyme Q10 deficiency disease
MESH:D000012	Abetalipoproteinemia
DOID:0050880	Koolen de Vries syndrome
MESH:C535847	Hay-Wells syndrome
DOID:0070230	Benign recurrent intrahepatic cholestasis
DOID:9744	Type 1 diabetes mellitus
MESH:C537482	Spastic paraplegia 10, autosomal dominant
DOID:0070212	Hereditary lymphedema I
DOID:693	Dental enamel hypoplasia
MESH:C564140	Leber Congenital Amaurosis 11
MESH:C567134	Deafness, Autosomal Recessive 1A
ICD10:G30	Alzheimer's disease with early onset
MESH:C535377	Epidermolysis bullosa with pyloric atresia
MESH:C535750	Congenital disorder of glycosylation type 1L
MESH:D009837	Oligodendroglioma
MESH:C567281	Diamond-Blackfan Anemia 4
MESH:D013923	Thromboembolism
MESH:C562801	3-Methylglutaconic Aciduria, Type I
MESH:C566321	Pituitary Adenoma, Familial Isolated
DOID:13374	Fibrodysplasia ossificans progressiva
DOID:4607	Biliary tract cancer
MESH:C537081	Bowen-Conradi syndrome
DOID:203	Exostosis
DOID:0090039	Torsion dystonia 6
MESH:D001528	Behcet Syndrome
MESH:C564007	Deafness, Autosomal Recessive 2
DOID:0111255	McKusick-Kaufman syndrome
ICD10:K03	Excessive attrition of teeth
MESH:D006943	Hyperglycemia
DOID:648	Kuru
DOID:0112308	Central precocious puberty
MESH:C535313	3C syndrome
ICD10:D53	Protein deficiency anemia
DOID:0111168	Sepiapterin reductase deficiency
DOID:0060704	Lymphoproliferative syndrome
MESH:D006529	Hepatomegaly
MESH:C564234	Glaucoma 1, Open Angle, A
MESH:D001943	Breast Neoplasms
ICD10:K	Anodontia
MESH:C536128	Achromatopsia 2
MESH:D055577	Farber Lipogranulomatosis
DOID:0111622	ACTH-independent macronodular adrenal hyperplasia
MESH:D005166	Factor V Deficiency
MESH:C567877	Cardiomyopathy, Dilated, 1BB
MESH:C567254	Diamond-Blackfan Anemia 7
MESH:D012214	Rheumatic Heart Disease
DOID:0070030	ITM2B-related cerebral amyloid angiopathy 2
ICD10:E279	Disorder of adrenal gland  unspecified
MESH:C567773	46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy
MESH:D004421	Dystonia
MESH:D006345	Heart Septal Defects, Ventricular
DOID:0050328	Congenital hypothyroidism
MESH:C564100	Metacarpal 4 5 Fusion
MESH:C567005	Retinitis Pigmentosa 37
DOID:649	Prion disease
MESH:D057129	Iridocorneal Endothelial Syndrome
DOID:9250	Acrocallosal syndrome
MESH:C567635	Hypokalemic Periodic Paralysis, Type 2
MESH:C564970	Myopathy, Hyaline Body, Autosomal Recessive
MESH:D010998	Pleurisy
